PK_Tasa,PK_Fecha,PK_Localidad,FK_Mortalidad,Poblacion_Total,Poblacion_Hombres,Poblacion_Mujeres,Muertes_Totales,Muertes_Totales_Hombres,Muertes_Totales_Mujeres,Tasa_Mortalidad_Total,Tasa_Mortalidad_Hombres,Tasa_Mortalidad_Mujeres,Tasa_Total_100k,Tasa_Hombres_100k,Tasa_Mujeres_100k
280,202211,8,280,392872.0,192020.0,200852.0,10,8,2,2.5453582846321447e-05,4.166232684095407e-05,9.957580706191624e-06,2.5453582846321448,4.166232684095407,0.9957580706191623
281,202212,1,281,659992.0,324114.0,335878.0,22,16,6,3.333373737863489e-05,4.936534676070765e-05,1.7863629055788113e-05,3.3333737378634893,4.936534676070765,1.7863629055788113
282,202212,2,282,390261.0,184113.0,206148.0,10,8,2,2.5623877353873432e-05,4.345157593434467e-05,9.701767662068028e-06,2.562387735387343,4.345157593434467,0.9701767662068028
283,202212,3,283,1069465.0,513826.0,555639.0,13,9,4,1.2155610515538143e-05,1.7515657051219674e-05,7.198918722407894e-06,1.2155610515538142,1.7515657051219673,0.7198918722407894
284,202212,4,284,252491.0,123378.0,129113.0,13,7,6,5.148698369446832e-05,5.6736209048614824e-05,4.647092082129607e-05,5.148698369446832,5.673620904861482,4.647092082129607
285,202212,5,285,401520.0,194001.0,207519.0,8,3,5,1.9924287706714485e-05,1.5463837815268992e-05,2.4094179328157904e-05,1.9924287706714485,1.5463837815268993,2.4094179328157903
286,202212,6,286,1239208.0,588067.0,651141.0,24,20,4,1.9367208733319992e-05,3.400973018380559e-05,6.143062716063034e-06,1.9367208733319992,3.400973018380559,0.6143062716063034
287,202212,7,287,572346.0,264113.0,308233.0,6,5,1,1.0483169271734231e-05,1.8931290773267503e-05,3.244298955660166e-06,1.0483169271734232,1.8931290773267504,0.3244298955660166
288,202212,8,288,392872.0,192020.0,200852.0,10,6,4,2.5453582846321447e-05,3.124674513071555e-05,1.9915161412383247e-05,2.5453582846321448,3.124674513071555,1.9915161412383247
289,202301,1,289,667368.0,327765.0,339603.0,17,9,8,2.547320219129476e-05,2.745869754244657e-05,2.3556917930642544e-05,2.547320219129476,2.7458697542446573,2.3556917930642545
