"Estacion","Fecha inicial","Fecha final","CO"
"""USME""","2025-07-18 07:00","2025-07-18 07:59","297.674"
"""USME""","2025-07-18 06:00","2025-07-18 06:59","343.47"
"""USME""","2025-07-18 05:00","2025-07-18 05:59","343.47"
"""USME""","2025-07-18 04:00","2025-07-18 04:59","171.735"
"""USME""","2025-07-18 03:00","2025-07-18 03:59","160.286"
"""USME""","2025-07-18 02:00","2025-07-18 02:59","160.286"
"""USME""","2025-07-18 01:00","2025-07-18 01:59","148.837"
"""USME""","2025-07-18 00:00","2025-07-18 00:59","137.388"
"""USME""","2025-07-17 23:00","2025-07-17 23:59","160.286"
"""USME""","2025-07-17 22:00","2025-07-17 22:59","206.082"
"""USME""","2025-07-17 21:00","2025-07-17 21:59","228.98"
"""USME""","2025-07-17 20:00","2025-07-17 20:59","251.878"
"""USME""","2025-07-17 19:00","2025-07-17 19:59","354.919"
"""USME""","2025-07-17 18:00","2025-07-17 18:59","629.695"
"""USME""","2025-07-17 17:00","2025-07-17 17:59","354.919"
"""USME""","2025-07-17 16:00","2025-07-17 16:59","320.572"
"""USME""","2025-07-17 15:00","2025-07-17 15:59","332.021"
"""USME""","2025-07-17 14:00","2025-07-17 14:59","320.572"
"""USME""","2025-07-17 13:00","2025-07-17 13:59","412.164"
"""USME""","2025-07-17 12:00","2025-07-17 12:59","354.919"
"""USME""","2025-07-17 11:00","2025-07-17 11:59","263.327"
"""USME""","2025-07-17 10:00","2025-07-17 10:59","389.266"
"""USME""","2025-07-17 09:00","2025-07-17 09:59","366.368"
"""USME""","2025-07-17 08:00","2025-07-17 08:59","354.919"
"""USME""","2025-07-17 07:00","2025-07-17 07:59","400.715"
"""USME""","2025-07-17 06:00","2025-07-17 06:59","652.593"
"""USME""","2025-07-17 05:00","2025-07-17 05:59","446.511"
"""USME""","2025-07-17 04:00","2025-07-17 04:59","183.184"
"""USME""","2025-07-17 03:00","2025-07-17 03:59","137.388"
"""USME""","2025-07-17 02:00","2025-07-17 02:59","103.041"
"""USME""","2025-07-17 01:00","2025-07-17 01:59","137.388"
"""USME""","2025-07-17 00:00","2025-07-17 00:59","251.878"
"""USME""","2025-07-16 23:00","2025-07-16 23:59","206.082"
"""USME""","2025-07-16 22:00","2025-07-16 22:59","332.021"
"""USME""","2025-07-16 21:00","2025-07-16 21:59","561.001"
"""USME""","2025-07-16 20:00","2025-07-16 20:59","767.083"
"""USME""","2025-07-16 19:00","2025-07-16 19:59","847.226"
"""USME""","2025-07-16 18:00","2025-07-16 18:59","686.94"
"""USME""","2025-07-16 17:00","2025-07-16 17:59","366.368"
"""USME""","2025-07-16 16:00","2025-07-16 16:59","286.225"
"""USME""","2025-07-16 15:00","2025-07-16 15:59","320.572"
"""USME""","2025-07-16 14:00","2025-07-16 14:59","343.47"
"""USME""","2025-07-16 13:00","2025-07-16 13:59","297.674"
"""USME""","2025-07-16 12:00","2025-07-16 12:59","354.919"
"""USME""","2025-07-16 11:00","2025-07-16 11:59","286.225"
"""USME""","2025-07-16 10:00","2025-07-16 10:59","412.164"
"""USME""","2025-07-16 09:00","2025-07-16 09:59","389.266"
"""USME""","2025-07-16 08:00","2025-07-16 08:59","389.266"
"""USME""","2025-07-16 07:00","2025-07-16 07:59","400.715"
"""USME""","2025-07-16 06:00","2025-07-16 06:59","641.144"
"""USME""","2025-07-16 05:00","2025-07-16 05:59","1041.859"
"""USME""","2025-07-16 04:00","2025-07-16 04:59","286.225"
"""USME""","2025-07-16 03:00","2025-07-16 03:59","228.98"
"""USME""","2025-07-16 02:00","2025-07-16 02:59","183.184"
"""USME""","2025-07-16 01:00","2025-07-16 01:59","217.531"
"""USME""","2025-07-16 00:00","2025-07-16 00:59","228.98"
"""USME""","2025-07-15 23:00","2025-07-15 23:59","286.225"
